600,4592708
598,5011111
600,0125726
599,8388294
600,1595903
600,2580311
600,2500515
599,9943434
598,6364311
601,8908216
600,7716481
598,5229003
600,7396976
598,9686277
601,3934047
598,1407864
601,7035045
600,0831704
601,0500768
599,7768748
598,5225166
600,9426302
599,7968756
599,9603206
598,2598822
601,9724664
601,5947761
600,5754736
599,0093635
599,1559044
598,9887749
598,1616442
601,1356087
598,7206237
600,4990827
598,4459306
599,3309416
599,381069
598,0748623
599,319719
599,0474391
600,4363614
601,3195219
598,4780815
599,8022794
599,2472077
601,4295322
601,8111243
600,1619528
600,2694699
599,9916564
600,9781516
599,3856471
599,198576
600,0853956
600,6058463
598,9499005
600,2992603
598,9595329
601,5514804
600,6304384
598,7909766
600,9479306
599,8073976
600,0424365
599,8547978
600,0485451
599,1420992
600,2107012
599,6861161
601,4969723
599,6027887
598,9765722
599,2019442
599,9980567
598,2488547
601,1530309
601,0807202
601,943896
599,4005844
599,1110337
598,0542991
599,5052367
599,7243621
598,1633981
600,6263363
599,3020281
600,2128047
599,1530701
599,3679085
600,2130137
600,1556716
600,9328018
601,5040577
601,5102611
599,4465274
598,2316148
600,4965972
599,2641152
598,9734404
601,1051098
600,4451313
601,0341078
600,5642104
600,0065731
600,2025591
598,7520784
601,2487826
601,8531817
600,0398968
600,2115725
599,7021593
600,0088266
599,2881426
598,6343546
598,9552246
599,7173448
600,3561625
601,7175723
601,4379403
600,8124563
599,943579
599,3472108
599,2433914
599,2756803
599,7890081
600,2877408
599,411706
598,5137399
600,1006573
600,7392611
599,4563524
600,2644782
601,2006041
598,7104747
601,24909
600,9850459
599,650293
601,6272615
599,6987328
599,5882757
598,378233
598,2302061
600,4328864
599,5765394
601,9415569
599,4804067
598,4301955
601,6142945
600,6211719
601,1961545
599,9300928
600,1186069
600,1637551
599,3933035
600,1043549
598,730128
599,9152631
601,3603468
599,6910515
600,4429008
601,1860455
600,1329481
600,0912156
598,7490907
600,3653353
599,5825736
598,9842518
600,7056938
599,1930096
599,3727798
599,5445784
598,4397891
600,985266
599,3789986
600,0914066
598,3822239
600,6259511
600,3530738
600,3253255
598,0102523
600,5843124
599,3160474
600,4252329
600,0833326
601,3601884
600,1900122
599,5112179
599,9177018
601,8103045
599,8532391
601,5776661
601,3556526
599,7035666
599,3712593
599,3214783
600,2192346
601,1005302
600,6650835
600,7116838
599,8723545
598,3076212
601,2129025
600,7380729
600,827238
598,0154794
600,3132708
599,5665966
600,3189909
598,9943763
599,5903238
601,53796
600,8520302
599,0863455
600,9014483
599,8111369
601,8586867
599,2387469
601,7751787
599,9782055
600,6651051
600,7907709
600,5175592
599,8260388
598,3532177
598,6846038
601,0144278
599,7724211
599,1303882
599,9982208
598,9275483
599,6897032
600,1181445
601,3579267
598,1998266
601,7843537
598,823012
600,7406154
599,3848441
599,9722178
600,2944328
599,1929511
598,9407457
599,5686116
600,1458883
598,4610791
599,732095
598,6056655
598,561537
599,7306046
598,9750578
599,2989894
598,3566634
600,056208
598,4154356
598,0545293
601,842849
601,819233
599,3066452
598,3260912
601,9763248
598,0905444
599,3719894
601,150914
600,8357677
599,9957509
599,157185
600,8719432
598,1029111
598,0588326
600,1516957
598,1547588
600,4059266
600,8129457
598,7572129
601,0662039
601,466169
598,7840591
599,5251652
600,2328072
599,0517038
601,5580074
599,7657525
599,8996705
598,282192
600,8102116
599,2070762
600,1446479
599,6137082
598,3752085
599,8878694
600,7833649
600,5828195
600,3858539
600,2505036
599,6070022
600,4112271
600,1054583
601,9152422
601,6481894
